Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-01,2021,1,1,,,,,,,,,,,,,,,,,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-02,2021,1,2,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-03,2021,1,3,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-04,2021,1,4,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-05,2021,1,5,,-26.9,,-29.7,,-28.3,,46.3,,0,,,,,,0.2,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-06,2021,1,6,,-24.6,,-30.8,,-27.7,,45.7,,0,,,,,,0.2,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-07,2021,1,7,,-22.8,,-26.3,,-24.6,,42.6,,0,,,,,,0,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-08,2021,1,8,,-12.2,,-25.8,,-19,,37,,0,,,,,,0,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-09,2021,1,9,,-13.6,,-20.6,,-17.1,,35.1,,0,,,,,,0.4,,,,34,,50,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-10,2021,1,10,,-15.9,,-23.4,,-19.7,,37.7,,0,,,,,,0,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-11,2021,1,11,,-14.1,,-16.3,,-15.2,,33.2,,0,,,,,,0.7,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-12,2021,1,12,,-15.1,,-22.7,,-18.9,,36.9,,0,,,,,,1.6,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-13,2021,1,13,,-22.1,,-34.5,,-28.3,,46.3,,0,,,,,,0,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-14,2021,1,14,,-21.5,,-36,,-28.8,,46.8,,0,,,,,,0.3,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-15,2021,1,15,,-20.3,,-24.9,,-22.6,,40.6,,0,,,,,,0,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-16,2021,1,16,,-21,,-26.2,,-23.6,,41.6,,0,,,,,,0,,,,15,,31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-17,2021,1,17,,-19.4,,-26.6,,-23,,41,,0,,,,,,0,,,,13,,37,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-18,2021,1,18,,-20.3,,-25.2,,-22.7,,40.7,,0,,,,,,0,,,,13,,43,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-19,2021,1,19,,-15.7,,-21.7,,-18.7,,36.7,,0,,,,,,0,,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-20,2021,1,20,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-21,2021,1,21,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-22,2021,1,22,,-15,,-19.4,,-17.2,,35.2,,0,,,,,,0,,,,13,,68,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-23,2021,1,23,,-15.3,,-26.3,,-20.8,,38.8,,0,,,,,,0,,,,13,,51,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-24,2021,1,24,,-17.6,,-28.5,,-23,,41,,0,,,,,,,M,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-25,2021,1,25,,-13.6,,-19.9,,-16.7,,34.7,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-26,2021,1,26,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-27,2021,1,27,,-24.3,,-31.2,,-27.8,,45.8,,0,,,,,,0.2,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-28,2021,1,28,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-29,2021,1,29,,-29.3,,-34.9,,-32.1,,50.1,,0,,,,,,0.2,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-30,2021,1,30,,-27.1,,-31.4,,-29.3,,47.3,,0,,,,,,0,,,,33,,37,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-01-31,2021,1,31,,-25.8,,-27.1,,-26.4,,44.4,,0,,,,,,0.8,,,,32,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-01,2021,2,1,,-25.7,,-28.3,,-27,,45,,0,,,,,,6.2,,,,32,,53,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-02,2021,2,2,,-26.1,,-35.8,,-30.9,,48.9,,0,,,,,,0.2,,,,34,,38,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-03,2021,2,3,,-33.4,,-37.5,,-35.5,,53.5,,0,,,,,,0.2,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-04,2021,2,4,,-33.5,,-37.5,,-35.5,,53.5,,0,,,,,,0.9,,,,32,,63,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-05,2021,2,5,,-31.4,,-35.9,,-33.6,,51.6,,0,,,,,,0.2,,,,31,,50,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-06,2021,2,6,,-23.2,,-32.1,,-27.7,,45.7,,0,,,,,,2.6,,,,31,,74,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-07,2021,2,7,,-23.9,,-32.8,,-28.3,,46.3,,0,,,,,,21.3,,,,33,,66,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-08,2021,2,8,,-32.7,,-38.9,,-35.8,,53.8,,0,,,,,,3.9,,,,33,,47,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-09,2021,2,9,,-33.4,,-39.2,,-36.3,,54.3,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-10,2021,2,10,,-28.5,,-35.7,,-32.1,,50.1,,0,,,,,,0,,,,13,,53,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-11,2021,2,11,,-23.4,,-28.8,,-26.1,,44.1,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-12,2021,2,12,,-24.9,,-28.2,,-26.5,,44.5,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-13,2021,2,13,,-20.1,,-27.7,,-23.9,,41.9,,0,,,,,,0,,,,31,,31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-14,2021,2,14,,-18.9,,-21.8,,-20.3,,38.3,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-15,2021,2,15,,-21.8,,-27.4,,-24.6,,42.6,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-16,2021,2,16,,-27.4,,-32.1,,-29.8,,47.8,,0,,,,,,0,,,,33,,38,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-17,2021,2,17,,-29.5,,-36.4,,-32.9,,50.9,,0,,,,,,0.2,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-18,2021,2,18,,-31.4,,-36.7,,-34,,52,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-19,2021,2,19,,-26.7,,-36,,-31.3,,49.3,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-20,2021,2,20,,-23.4,,-32.6,,-28,,46,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-21,2021,2,21,,-21.3,,-30,,-25.6,,43.6,,0,,,,,,0,,,,30,,57,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-22,2021,2,22,,-21.3,,-24.3,,-22.8,,40.8,,0,,,,,,0,,,,30,,54,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-23,2021,2,23,,-23.3,,-29.7,,-26.5,,44.5,,0,,,,,,0,,,,30,,47,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-24,2021,2,24,,-29.1,,-33.7,,-31.4,,49.4,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-25,2021,2,25,,-31.5,,-36.5,,-34,,52,,0,,,,,,0,,,,13,,31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-26,2021,2,26,,-32.5,,-35.5,,-34,,52,,0,,,,,,6,,,,30,,50,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-27,2021,2,27,,-30.5,,-33.3,,-31.9,,49.9,,0,,,,,,2.7,,,,34,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-02-28,2021,2,28,,-31.8,,-36.8,,-34.3,,52.3,,0,,,,,,,M,,,32,,49,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-01,2021,3,1,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-02,2021,3,2,,-29.8,,-33,,-31.4,,49.4,,0,,,,,,0,,,,32,,39,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-03,2021,3,3,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-04,2021,3,4,,-24.5,,-31.4,,-28,,46,,0,,,,,,0.2,,,,13,,50,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-05,2021,3,5,,-19.5,,-25.2,,-22.3,,40.3,,0,,,,,,0,,,,12,,48,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-06,2021,3,6,,-18.6,,-27.8,,-23.2,,41.2,,0,,,,,,0,,,,33,,35,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-07,2021,3,7,,-22.2,,-29.8,,-26,,44,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-08,2021,3,8,,-18.9,,-31.6,,-25.2,,43.2,,0,,,,,,0,,,,12,,55,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-09,2021,3,9,,-5.1,,-20.5,,-12.8,,30.8,,0,,,,,,0,,,,31,,78,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-10,2021,3,10,,-7.3,,-14.9,,-11.1,,29.1,,0,,,,,,0,,,,32,,49,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-11,2021,3,11,,-10.5,,-22.1,,-16.3,,34.3,,0,,,,,,0,,,,30,,98,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-12,2021,3,12,,-21.8,,-26.8,,-24.3,,42.3,,0,,,,,,0,,,,31,,64,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-13,2021,3,13,,-20.9,,-30.3,,-25.6,,43.6,,0,,,,,,,M,,,12,,44,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-14,2021,3,14,,-21.6,,-26.4,,-24,,42,,0,,,,,,0,,,,13,,48,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-15,2021,3,15,,-17.3,,-26.7,,-22,,40,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-16,2021,3,16,,-20.2,,-28.4,,-24.3,,42.3,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-17,2021,3,17,,-21.3,,-30.8,,-26.1,,44.1,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-18,2021,3,18,,-21.2,,-28.3,,-24.7,,42.7,,0,,,,,,,M,,,31,,38,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-19,2021,3,19,,-20.4,,-26.4,,-23.4,,41.4,,0,,,,,,,M,,,32,,41,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-20,2021,3,20,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-21,2021,3,21,,-22,,-27.2,,-24.6,,42.6,,0,,,,,,0,,,,13,,32,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-22,2021,3,22,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-23,2021,3,23,,-12.9,,-21.6,,-17.2,,35.2,,0,,,,,,0,,,,32,,54,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-24,2021,3,24,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-25,2021,3,25,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-26,2021,3,26,,-15.4,,-24.7,,-20,,38,,0,,,,,,0,,,,34,,43,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-27,2021,3,27,,-22.2,,-27,,-24.6,,42.6,,0,,,,,,0,,,,32,,37,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-28,2021,3,28,,-21.3,,-28.9,,-25.1,,43.1,,0,,,,,,0,,,,12,,37,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-29,2021,3,29,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-30,2021,3,30,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-03-31,2021,3,31,,-21.2,,-24.7,,-22.9,,40.9,,0,,,,,,0,,,,14,,32,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-01,2021,4,1,,-18.8,,-27.3,,-23.1,,41.1,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-02,2021,4,2,,-19.9,,-24.8,,-22.4,,40.4,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-03,2021,4,3,,-19.6,,-26.4,,-23,,41,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-04,2021,4,4,,-14.6,,-29,,-21.8,,39.8,,0,,,,,,0,,,,31,,86,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-05,2021,4,5,,-19.4,,-21.6,,-20.5,,38.5,,0,,,,,,0,,,,31,,89,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-06,2021,4,6,,-17.4,,-22.7,,-20,,38,,0,,,,,,0,,,,31,,37,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-07,2021,4,7,,-18.2,,-27.2,,-22.7,,40.7,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-08,2021,4,8,,-20.3,,-27.8,,-24,,42,,0,,,,,,0,,,,32,,62,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-09,2021,4,9,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-10,2021,4,10,,-19.6,,-31.8,,-25.7,,43.7,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-11,2021,4,11,,-16.8,,-29.8,,-23.3,,41.3,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-12,2021,4,12,,-11.3,,-26.6,,-18.9,,36.9,,0,,,,,,0,,,,12,,46,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-13,2021,4,13,,-9.1,,-18.7,,-13.9,,31.9,,0,,,,,,32.7,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-14,2021,4,14,,-8.9,,-16.1,,-12.5,,30.5,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-15,2021,4,15,,-9.5,,-13.4,,-11.4,,29.4,,0,,,,,,0,,,,33,,42,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-16,2021,4,16,,-6.2,,-11,,-8.6,,26.6,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-17,2021,4,17,,-0.7,,-13,,-6.8,,24.8,,0,,,,,,0,,,,30,,32,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-18,2021,4,18,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-19,2021,4,19,,0.3,,-7.8,,-3.7,,21.7,,0,,,,,,,M,,,32,,64,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-20,2021,4,20,,-2.5,,-10,,-6.3,,24.3,,0,,,,,,1.6,,,,32,,79,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-21,2021,4,21,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-22,2021,4,22,,-4.5,,-10.4,,-7.4,,25.4,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-23,2021,4,23,,-2.2,,-12,,-7.1,,25.1,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-24,2021,4,24,,1.2,,-9.8,,-4.3,,22.3,,0,,,,,,0,,,,32,,37,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-25,2021,4,25,,-5.2,,-10.9,,-8.1,,26.1,,0,,,,,,0,,,,14,,33,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-26,2021,4,26,,-8.4,,-11.7,,-10.1,,28.1,,0,,,,,,0,,,,14,,55,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-27,2021,4,27,,-2.7,,-11.3,,-7,,25,,0,,,,,,0,,,,14,,61,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-28,2021,4,28,,-0.2,,-9.2,,-4.7,,22.7,,0,,,,,,0,,,,14,,48,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-29,2021,4,29,,0,,-6.8,,-3.4,,21.4,,0,,,,,,0,,,,13,,41,
-138.91,69.57,HERSCHEL ISLAND,2100636,2021-04-30,2021,4,30,,-3.7,,-7.8,,-5.8,,23.8,,0,,,,,,0,,,,,,,
