"Month","Day","Mean_Temp","Max_Temp","Min_Temp","n_years","dummydate"
1,1,-22.15,-1.3,-37.4,20,2023-01-01
1,2,-20.1333333333333,0.7,-35.5,21,2023-01-02
1,3,-18.615,0.3,-33.2,20,2023-01-03
1,4,-19.0380952380952,-1.5,-32.8,21,2023-01-04
1,5,-20.7260869565217,-2.1,-35.5,23,2023-01-05
1,6,-21.9761904761905,-4.6,-37.3,21,2023-01-06
1,7,-22.5565217391304,-4.8,-36.4,23,2023-01-07
1,8,-22.0545454545455,-0.3,-34.6,22,2023-01-08
1,9,-22.1380952380952,-1.9,-34.4,21,2023-01-09
1,10,-21.45,-1.2,-34.7,22,2023-01-10
1,11,-21.335,-5.1,-34.8,20,2023-01-11
1,12,-22.5473684210526,-10.6,-34.8,19,2023-01-12
1,13,-22.425,-0.4,-34.5,20,2023-01-13
1,14,-21.7894736842105,-1,-36,19,2023-01-14
1,15,-22.1,-6.4,-37.3,19,2023-01-15
1,16,-23.2388888888889,-2.7,-36.9,18,2023-01-16
1,17,-22.835,-6,-39.4,20,2023-01-17
1,18,-22.5052631578947,-3.7,-36,19,2023-01-18
1,19,-23.1,-1.3,-36,18,2023-01-19
1,20,-24.5166666666667,-0.8,-36.2,18,2023-01-20
1,21,-25.4111111111111,-0.9,-38.6,18,2023-01-21
1,22,-26.0833333333333,-8.1,-37.8,18,2023-01-22
1,23,-24.7294117647059,-8.1,-37.9,17,2023-01-23
1,24,-24.15625,0.2,-38,16,2023-01-24
1,25,-21.74,0.7,-37.4,15,2023-01-25
1,26,-23.6,-8.7,-34.9,17,2023-01-26
1,27,-23.2947368421053,-9.8,-35,19,2023-01-27
1,28,-22.4736842105263,-8.5,-40.5,19,2023-01-28
1,29,-22.475,-3.2,-42.5,20,2023-01-29
1,30,-22.0210526315789,-4.6,-38.5,19,2023-01-30
1,31,-22.0210526315789,-5.5,-40.8,19,2023-01-31
2,1,-23.535,-4.9,-42.8,20,2023-02-01
2,2,-24.3631578947368,-3.9,-36.8,19,2023-02-02
2,3,-22.7166666666667,-4.2,-37.5,18,2023-02-03
2,4,-22.4473684210526,-1.1,-37.5,19,2023-02-04
2,5,-21.2666666666667,-4,-35.9,18,2023-02-05
2,6,-22.0736842105263,-5.3,-34.1,19,2023-02-06
2,7,-24.2631578947368,-5.7,-36.8,19,2023-02-07
2,8,-24.5421052631579,-2.5,-38.9,19,2023-02-08
2,9,-23.2444444444444,-0.8,-39.2,18,2023-02-09
2,10,-22.79,-7.8,-35.7,20,2023-02-10
2,11,-21.3105263157895,-2.5,-36.4,19,2023-02-11
2,12,-22.5684210526316,-4.7,-34.9,19,2023-02-12
2,13,-25.0578947368421,-5.5,-34.9,19,2023-02-13
2,14,-26.5277777777778,-1.3,-36.8,18,2023-02-14
2,15,-25.35,-2.8,-35.6,16,2023-02-15
2,16,-24.5166666666667,-10.4,-36,18,2023-02-16
2,17,-24.8111111111111,-8.5,-36.4,18,2023-02-17
2,18,-25,-7.3,-39,18,2023-02-18
2,19,-25.3222222222222,-6.3,-40,18,2023-02-19
2,20,-25.8888888888889,-14,-39.3,18,2023-02-20
2,21,-24.9277777777778,-14,-38.3,18,2023-02-21
2,22,-24.6736842105263,-11.1,-36.7,19,2023-02-22
2,23,-23.76,-8.8,-36.6,20,2023-02-23
2,24,-22.3421052631579,-1.4,-34.6,19,2023-02-24
2,25,-21.9611111111111,-1.5,-36.5,18,2023-02-25
2,26,-23.9263157894737,-5.2,-39.5,19,2023-02-26
2,27,-25.2055555555556,-4.6,-39.8,18,2023-02-27
2,28,-24.6105263157895,-8.2,-39.9,19,2023-02-28
2,29,-25.8,-13.1,-36.7,6,NA
3,1,-21.5444444444444,-4.2,-36.1,18,2023-03-01
3,2,-22.7777777777778,-5.5,-35.9,18,2023-03-02
3,3,-21.8294117647059,-3,-37,17,2023-03-03
3,4,-22.5888888888889,-3.4,-33.8,18,2023-03-04
3,5,-23.3944444444444,-6.8,-35.9,18,2023-03-05
3,6,-20.9235294117647,-6.6,-37.8,17,2023-03-06
3,7,-21.7333333333333,-4.4,-40.5,18,2023-03-07
3,8,-22.3842105263158,-6.6,-38.4,19,2023-03-08
3,9,-22.1058823529412,-5.1,-36.3,17,2023-03-09
3,10,-21.2736842105263,-7.3,-36.9,19,2023-03-10
3,11,-20.5388888888889,-6,-33.1,18,2023-03-11
3,12,-21.6388888888889,-6,-35.4,18,2023-03-12
3,13,-21.5166666666667,-3.1,-32.2,18,2023-03-13
3,14,-20.8,-3.1,-30.6,20,2023-03-14
3,15,-21.5105263157895,-11.5,-31.5,19,2023-03-15
3,16,-22.1266666666667,-5,-35,15,2023-03-16
3,17,-22.0277777777778,-9,-35.5,18,2023-03-17
3,18,-20.2666666666667,1.7,-36.6,18,2023-03-18
3,19,-19.99,-1.3,-35.5,20,2023-03-19
3,20,-19.0777777777778,-1.5,-36.1,18,2023-03-20
3,21,-17.5764705882353,2.4,-36.4,17,2023-03-21
3,22,-16.8,0.1,-35.7,15,2023-03-22
3,23,-17.5555555555556,-2.1,-34.3,18,2023-03-23
3,24,-18.3166666666667,-0.4,-39.7,18,2023-03-24
3,25,-17.3,0.7,-39,17,2023-03-25
3,26,-20.1,-11.2,-34.1,16,2023-03-26
3,27,-20.5777777777778,-0.1,-38.8,18,2023-03-27
3,28,-21.3222222222222,-8.2,-35,18,2023-03-28
3,29,-19.4111111111111,0.3,-35.7,18,2023-03-29
3,30,-20.1,0.8,-30.8,17,2023-03-30
3,31,-19.2263157894737,1.4,-30.3,19,2023-03-31
4,1,-20.0944444444444,-5,-33.7,18,2023-04-01
4,2,-19.15,-7.6,-31.7,18,2023-04-02
4,3,-19.0833333333333,-0.7,-32.7,18,2023-04-03
4,4,-17.7647058823529,5.1,-29,17,2023-04-04
