Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-01,1999,1,1,,,M,,M,,M,,M,,M,,M,,M,,M,,,11,,35,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-02,1999,1,2,,,M,,M,,M,,M,,M,,M,,M,,M,,,14,,72,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-03,1999,1,3,,,M,,M,,M,,M,,M,,M,,M,,M,,,13,,61,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-04,1999,1,4,,,M,,M,,M,,M,,M,,M,,M,,M,,,35,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-05,1999,1,5,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,61,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-06,1999,1,6,,,M,,M,,M,,M,,M,,M,,M,,M,,,32,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-07,1999,1,7,,,M,,M,,M,,M,,M,,M,,M,,M,,,32,,63,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-08,1999,1,8,,,M,,M,,M,,M,,M,,M,,M,,M,,,36,,44,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-09,1999,1,9,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,32,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-10,1999,1,10,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,32,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-11,1999,1,11,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,39,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-12,1999,1,12,,,M,,M,,M,,M,,M,,M,,M,,M,,,12,,56,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-13,1999,1,13,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-14,1999,1,14,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-15,1999,1,15,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-16,1999,1,16,,,M,,M,,M,,M,,M,,M,,M,,M,,,33,,32,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-17,1999,1,17,,,M,,M,,M,,M,,M,,M,,M,,M,,,30,,35,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-18,1999,1,18,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,59,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-19,1999,1,19,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,57,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-20,1999,1,20,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,37,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-21,1999,1,21,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-22,1999,1,22,,,M,,M,,M,,M,,M,,M,,M,,M,,,25,,44,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-23,1999,1,23,,,M,,M,,M,,M,,M,,M,,M,,M,,,23,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-24,1999,1,24,,,M,,M,,M,,M,,M,,M,,M,,M,,,32,,98,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-25,1999,1,25,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,E,87,E
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-26,1999,1,26,,,M,,M,,M,,M,,M,,M,,M,,M,,,30,,48,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-27,1999,1,27,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-28,1999,1,28,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-29,1999,1,29,,,M,,M,,M,,M,,M,,M,,M,,M,,,35,,59,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-30,1999,1,30,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,61,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-01-31,1999,1,31,,,M,,M,,M,,M,,M,,M,,M,,M,,,32,,59,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-01,1999,2,1,,,M,,M,,M,,M,,M,,M,,M,,M,,,34,,33,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-02,1999,2,2,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,74,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-03,1999,2,3,,,M,,M,,M,,M,,M,,M,,M,,M,,,32,,85,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-04,1999,2,4,,,M,,M,,M,,M,,M,,M,,M,,M,,,30,,54,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-05,1999,2,5,,,M,,M,,M,,M,,M,,M,,M,,M,,,32,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-06,1999,2,6,,,M,,M,,M,,M,,M,,M,,M,,M,,,34,,56,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-07,1999,2,7,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,44,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-08,1999,2,8,,,M,,M,,M,,M,,M,,M,,M,,M,,,34,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-09,1999,2,9,,,M,,M,,M,,M,,M,,M,,M,,M,,,31,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-10,1999,2,10,,,M,,M,,M,,M,,M,,M,,M,,M,,,32,,35,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-11,1999,2,11,,,M,,M,,M,,M,,M,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1999-02-12,1999,2,12,,,M,,M,,M,,M,,M,,M,,M,,M,,,13,,41,
