Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-01,1998,1,1,,-33,,-37.1,,-35.1,,53.1,,0,,,M,,M,,M,,,33,,32,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-02,1998,1,2,,-30.2,,-35.5,,-32.9,,50.9,,0,,,M,,M,,M,,,31,,87,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-03,1998,1,3,,-22.4,,-30.3,,-26.4,,44.4,,0,,,M,,M,,M,,,31,,78,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-04,1998,1,4,,-16.9,,-25.2,,-21.1,,39.1,,0,,,M,,M,,M,,,31,,74,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-05,1998,1,5,,-19.6,,-24.5,,-22.1,,40.1,,0,,,M,,M,,M,,,30,,50,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-06,1998,1,6,,-24.5,,-30.8,,-27.7,,45.7,,0,,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-07,1998,1,7,,-26.8,,-32.1,,-29.5,,47.5,,0,,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-08,1998,1,8,,-26.7,,-30.7,,-28.7,,46.7,,0,,,M,,M,,M,,,10,,41,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-09,1998,1,9,,-27.1,,-30.7,,-28.9,,46.9,,0,,,M,,M,,M,,,11,,46,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-10,1998,1,10,,-25.3,,-27.8,,-26.6,,44.6,,0,,,M,,M,,M,,,12,,44,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-11,1998,1,11,,-24.6,,-27.3,,-26,,44,,0,,,M,,M,,M,,,13,,32,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-12,1998,1,12,,-23.9,,-30.7,,-27.3,,45.3,,0,,,M,,M,,M,,,33,,52,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-13,1998,1,13,,-26.7,,-28.6,,-27.7,,45.7,,0,,,M,,M,,M,,,32,,61,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-14,1998,1,14,,-26.3,,-28.9,,-27.6,,45.6,,0,,,M,,M,,M,,,32,,48,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-15,1998,1,15,,-28.4,,-34,,-31.2,,49.2,,0,,,M,,M,,M,,,11,,33,
-138.91,69.57,HERSCHEL ISLAND,2100636,1998-01-16,1998,1,16,,-33.2,,-35,,-34.1,,52.1,,0,,,M,,M,,M,,,12,,33,
