gc_id,act_date,sim_season,sim_week,sim_date,exp_day,set_max,set_min,set_mean,hrs_light,,,,,,,,,,,,
control,11-Apr-25,spring,week 1,01-Jun,1,3,-1,0.5,24,,,,,,,,,,,,
control,12-Apr-25,spring,week 1,02-Jun,2,3,-1,0.5,24,,,,,,,,,,,,
control,13-Apr-25,spring,week 1,03-Jun,3,3,-1,0.5,24,,,,,,,,,,,,
control,14-Apr-25,spring,week 1,04-Jun,4,3,-1,0.5,24,,,,,,,,,,,,
control,15-Apr-25,spring,week 1,05-Jun,5,3,-1,0.5,24,,,,,,,,,,,,
control,16-Apr-25,spring,week 1,06-Jun,6,3,-1,0.5,24,,,,,,,,,,,,
control,17-Apr-25,spring,week 1,07-Jun,7,3,-1,0.5,24,,,,,,,,,,,,
control,18-Apr-25,spring,week 2,08-Jun,8,3,-1,0.5,24,,,,,,,,,,,,
control,19-Apr-25,spring,week 2,09-Jun,9,3,-1,0.5,24,,,,,,,,,,,,
control,20-Apr-25,spring,week 2,10-Jun,10,3,-1,0.5,24,,,,,,,,,,,,
control,21-Apr-25,spring,week 2,11-Jun,11,3,-1,0.5,24,,,,,,,,,,,,
control,22-Apr-25,spring,week 2,12-Jun,12,3,-1,0.5,24,,,,,,,,,,,,
control,23-Apr-25,spring,week 2,13-Jun,13,3,-1,0.5,24,,,,,,,,,,,,
control,24-Apr-25,spring,week 2,14-Jun,14,3,-1,0.5,24,,,,,,,,,,,,
control,25-Apr-25,spring,week 3,15-Jun,15,3,-1,0.5,24,,,,,,,,,,,,
control,26-Apr-25,spring,week 3,16-Jun,16,3,-1,0.5,24,,,,,,,,,,,,
control,27-Apr-25,spring,week 3,17-Jun,17,3,-1,0.5,24,,,,,,,,,,,,
control,28-Apr-25,spring,week 3,18-Jun,18,3,-1,0.5,24,,,,,,,,,,,,
control,29-Apr-25,spring,week 3,19-Jun,19,6,1,3,24,,,,,,,,,,,,
control,30-Apr-25,spring,week 3,20-Jun,20,6,1,3,24,,,,,,,,,,,,
control,01-May-25,spring,week 3,21-Jun,21,6,1,3,24,,,,,,,,,,,,
control,02-May-25,spring,week 4,22-Jun,22,6,1,3,24,,,,,,,,,,,,
control,03-May-25,spring,week 4,23-Jun,23,6,1,3,24,,,,,,,,,,,,
control,04-May-25,spring,week 4,24-Jun,24,6,1,3,24,,,,,,,,,,,,
control,05-May-25,spring,week 4,25-Jun,25,6,1,3,24,,,,,,,,,,,,
control,06-May-25,spring,week 4,26-Jun,26,10,4,7,24,,,,,,,,,,,,
control,07-May-25,spring,week 4,27-Jun,27,10,4,7,24,,,,,,,,,,,,
control,08-May-25,spring,week 4,28-Jun,26,10,4,7,24,,,,,,,,,,,,
control,09-May-25,spring,week 5,29-Jun,27,10,4,7,24,,,,,,,,,,,,
control,10-May-25,spring,week 5,30-Jun,26,10,4,7,24,,,,,,,,,,,,
control,11-May-25,spring,week 5,01-Jul,26,10,4,7,24,,,,,,,,,,,,
control,12-May-25,spring,week 5,02-Jul,27,10,4,7,24,,,,,,,,,,,,
control,13-May-25,summer,week 5,03-Jul,33,12,7,10,24,,,,,,,,,,,,
control,14-May-25,summer,week 5,04-Jul,34,12,7,10,24,,,,,,,,,,,,
control,15-May-25,summer,week 5,05-Jul,35,12,7,10,24,,,,,,,,,,,,
control,16-May-25,summer,week 6,06-Jul,36,12,7,10,24,,,,,,,,,,,,
control,17-May-25,summer,week 6,07-Jul,37,12,7,10,24,,,,,,,,,,,,
