gc_id,act_date,sim_season,sim_week,sim_date,exp_day,set_max,set_min,set_mean,act_max,act_min,act_mean,set_hrs_light,act_hrs_light
control,11-Apr-25,spring,week 1,01-Jun,1,3,-1,0.5,7.63,2.01,4.47,24,24
control,12-Apr-25,spring,week 1,02-Jun,2,3,-1,0.5,7.42,1.97,4.41,24,24
control,13-Apr-25,spring,week 1,03-Jun,3,3,-1,0.5,7.55,2.1,4.49,24,24
control,14-Apr-25,spring,week 1,04-Jun,4,3,-1,0.5,7.68,2.19,4.58,24,24
control,15-Apr-25,spring,week 1,05-Jun,5,3,-1,0.5,7.68,2.23,4.62,24,24
control,16-Apr-25,spring,week 1,06-Jun,6,3,-1,0.5,7.72,2.27,7.12,24,24
control,17-Apr-25,spring,week 1,07-Jun,7,3,-1,0.5,6.95,2.01,4.14,24,24
control,18-Apr-25,spring,week 2,08-Jun,8,3,-1,0.5,6.95,2.1,4.2,24,24
control,19-Apr-25,spring,week 2,09-Jun,9,3,-1,0.5,6.78,2.1,4.09,24,24
control,20-Apr-25,spring,week 2,10-Jun,10,3,-1,0.5,6.65,2.14,4.17,24,24
control,21-Apr-25,spring,week 2,11-Jun,11,3,-1,0.5,6.95,2.23,4.25,24,24
control,22-Apr-25,spring,week 2,12-Jun,12,3,-1,0.5,7.42,2.19,4.22,24,24
control,23-Apr-25,spring,week 2,13-Jun,13,3,-1,0.5,6.78,2.01,4.02,24,24
control,24-Apr-25,spring,week 2,14-Jun,14,3,-1,0.5,6.65,2.01,3.99,24,24
control,25-Apr-25,spring,week 3,15-Jun,15,3,-1,0.5,6.69,2.06,4.09,24,24
control,26-Apr-25,spring,week 3,16-Jun,16,3,-1,0.5,7.03,2.06,4.09,24,24
control,27-Apr-25,spring,week 3,17-Jun,17,3,-1,0.5,6.82,2.1,4.2,24,24
control,28-Apr-25,spring,week 3,18-Jun,18,3,-1,0.5,6.9,2.14,4.2,24,24
control,29-Apr-25,spring,week 3,19-Jun,19,6,1,3,8.02,1.97,4.16,24,24
control,30-Apr-25,spring,week 3,20-Jun,20,6,1,3,7.08,1.84,4.03,24,24
control,01-May-25,spring,week 3,21-Jun,21,6,1,3,7.25,1.8,4.09,24,24
control,02-May-25,spring,week 4,22-Jun,22,6,1,3,7.33,1.8,4.07,24,24
control,03-May-25,spring,week 4,23-Jun,23,6,1,3,7.16,1.84,4.17,24,24
control,04-May-25,spring,week 4,24-Jun,24,6,1,3,7.33,1.93,4.24,24,24
control,05-May-25,spring,week 4,25-Jun,25,6,1,3,7.63,2.01,4.34,24,24
control,06-May-25,spring,week 4,26-Jun,26,10,4,7,7.68,2.1,4.69,24,24
control,07-May-25,spring,week 4,27-Jun,27,10,4,7,8.41,3.6,5.54,24,24
control,08-May-25,spring,week 4,28-Jun,28,10,4,7,8.06,3.47,5.45,24,24
control,09-May-25,spring,week 5,29-Jun,29,10,4,7,11.62,2.01,5.57,24,24
control,10-May-25,spring,week 5,30-Jun,30,10,4,7,24.19,3.17,11.49,24,24
control,11-May-25,spring,week 5,01-Jul,31,10,4,7,8.19,3.77,5.53,24,24
control,12-May-25,spring,week 5,02-Jul,32,10,4,7,8.15,3.69,5.44,24,24
control,13-May-25,summer,week 5,03-Jul,33,12,7,10,11.41,3.69,7.03,24,24
control,14-May-25,summer,week 5,04-Jul,34,12,7,10,11.75,6.13,8.96,24,24
control,15-May-25,summer,week 5,05-Jul,35,12,7,10,12.95,6,9.32,24,24
control,16-May-25,summer,week 6,06-Jul,36,12,7,10,13.17,7.25,10.07,24,24
control,17-May-25,summer,week 6,07-Jul,37,12,7,10,12.74,7.25,10.15,24,24
control,18-May-25,summer,week 6,08-Jul,38,12,7,10,13.04,7.2,10.32,24,24
control,19-May-25,summer,week 6,09-Jul,39,12,7,10,12.95,7.38,10.35,24,24
control,20-May-25,summer,week 6,10-Jul,40,12,7,10,12.78,7.25,10.19,24,24
control,21-May-25,summer,week 6,11-Jul,41,12,7,10,14.11,7.25,10.38,24,24
control,22-May-25,summer,week 6,12-Jul,42,12,7,10,14.2,7.33,10.51,24,24
control,23-May-25,summer,week 7,13-Jul,43,12,7,10,13.55,7.33,10.2,24,24
control,24-May-25,summer,week 7,14-Jul,44,12,7,10,13.12,7.29,10.28,24,24
control,25-May-25,summer,week 7,15-Jul,45,12,7,10,13.04,7.29,10.33,24,24
control,26-May-25,summer,week 7,16-Jul,46,12,7,10,13.3,7.33,10.36,24,24
control,27-May-25,summer,week 7,17-Jul,47,12,7,10,13.08,7.33,10.52,24,24
control,28-May-25,summer,week 7,18-Jul,48,12,7,10,12.87,7.46,10.46,24,24
control,29-May-25,summer,week 7,19-Jul,49,12,7,10,13.04,7.2,10.37,24,24
control,30-May-25,summer,week 8,20-Jul,50,12,7,10,13.17,7.16,10.41,24,24
control,31-May-25,summer,week 8,21-Jul,51,12,7,10,13,7.25,10.26,24,24
control,01-Jun-25,summer,week 8,22-Jul,52,12,7,10,12.87,7.2,10.3,24,24
control,02-Jun-25,summer,week 8,23-Jul,53,12,7,10,13.12,7.25,10.35,24,24
control,03-Jun-25,summer,week 8,24-Jul,54,12,7,10,12.48,7.33,10.18,24,24
control,04-Jun-25,summer,week 8,25-Jul,55,12,7,10,14.11,7.25,10.06,24,24
control,05-Jun-25,summer,week 8,26-Jul,56,12,7,10,12.22,6.43,9.46,24,24
control,06-Jun-25,summer,week 9,27-Jul,57,12,7,10,12.74,6,9.48,24,24
control,07-Jun-25,summer,week 9,28-Jul,58,12,7,10,12.4,6.05,9.45,24,24
control,08-Jun-25,summer,week 9,29-Jul,59,12,7,10,12.44,6,9.37,24,24
control,09-Jun-25,summer,week 9,30-Jul,60,12,7,10,12.27,5.96,9.39,24,24
control,10-Jun-25,summer,week 9,31-Jul,61,12,7,10,12.31,5.7,9.46,24,24
