Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-01,2012,1,1,,-28.1,,-37.4,,-32.8,,50.8,,0,,,M,,M,1.7,,59,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-02,2012,1,2,,-21,,-31.1,,-26.1,,44.1,,0,,,M,,M,1,,59,,31,,61,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-03,2012,1,3,,-25.5,,-33.2,,-29.4,,47.4,,0,,,M,,M,0.8,,52,,31,,59,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-04,2012,1,4,,-26.1,,-32.8,,-29.5,,47.5,,0,,,M,,M,0.2,,52,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-05,2012,1,5,,-22.1,,-26.1,,-24.1,,42.1,,0,,0,,,M,1.2,,52,,11,,37,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-06,2012,1,6,,-21.9,,-30.2,,-26.1,,44.1,,0,,,M,,M,0.2,,51,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-07,2012,1,7,,-23.2,,-32.7,,-28,,46,,0,,,M,,M,0,,52,,31,,44,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-08,2012,1,8,,-24.2,,-30.5,,-27.4,,45.4,,0,,,M,,M,2.6,,58,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-09,2012,1,9,,-23.3,,-31.8,,-27.6,,45.6,,0,,,M,,M,0.4,,58,,30,,39,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-10,2012,1,10,,-19.8,,-34.7,,-27.3,,45.3,,0,,,M,,M,2.2,,59,,23,,37,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-11,2012,1,11,,-21.9,,-30,,-26,,44,,0,,,M,,M,0,,59,,31,,98,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-12,2012,1,12,,-22.1,,-25.2,,-23.7,,41.7,,0,,0,,,M,2.3,,51,,31,,91,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-13,2012,1,13,,-24.9,,-29.6,,-27.3,,45.3,,0,,,M,,M,0.4,,52,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-14,2012,1,14,,-21,,-29.9,,-25.5,,43.5,,0,,,M,,M,1.3,,52,,31,,85,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-15,2012,1,15,,-25.1,,-30,,-27.6,,45.6,,0,,,M,,M,1.2,,,,32,,74,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-16,2012,1,16,,-18.5,,-26.2,,-22.4,,40.4,,0,,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-17,2012,1,17,,-17,,-19.2,,-18.1,,36.1,,0,,,M,,M,,M,,,30,,120,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-18,2012,1,18,,-13.3,,-19.1,,-16.2,,34.2,,0,,,M,,M,4.4,,,,32,,117,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-19,2012,1,19,,-15,,-18.3,,-16.7,,34.7,,0,,,M,,M,3.1,,,,31,,82,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-20,2012,1,20,,-14.2,,-17.8,,-16,,34,,0,,,M,,M,4.6,,,,32,,87,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-21,2012,1,21,,-17.8,,-29.5,,-23.7,,41.7,,0,,,M,,M,2.1,,,,31,,65,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-22,2012,1,22,,-29.5,,-36.3,,-32.9,,50.9,,0,,,M,,M,,M,,,34,,44,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-23,2012,1,23,,-34.4,,-36.1,,-35.3,,53.3,,0,,,M,,M,,M,,,31,,63,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-24,2012,1,24,,-35.2,,-37,,-36.1,,54.1,,0,,,M,,M,0.8,,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-25,2012,1,25,,-34.8,,-37.4,,-36.1,,54.1,,0,,,M,,M,1.2,,,,31,,54,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-26,2012,1,26,,-33.1,,-34.9,,-34,,52,,0,,,M,,M,2.7,,,,32,,63,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-27,2012,1,27,,-31.1,,-35,,-33.1,,51.1,,0,,,M,,M,0,,,,31,,63,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-28,2012,1,28,,-31.1,,-40.5,,-35.8,,53.8,,0,,,M,,M,0,,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-29,2012,1,29,,-33.4,,-42.5,,-38,,56,,0,,,M,,M,1.2,,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,2012-01-30,2012,1,30,,-31.3,,-38.5,,-34.9,,52.9,,0,,,M,,M,0.4,,,,,,<31,
