Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-138.91,69.57,HERSCHEL ISLAND,2100636,2005-01-01,2005,1,1,,-6.3,,-14.3,,-10.3,,28.3,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2005-01-02,2005,1,2,,-6.7,,-13.8,,-10.3,,28.3,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2005-01-03,2005,1,3,,-2.9,,-11.2,,-7.1,,25.1,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2005-01-04,2005,1,4,,-2.6,,-9.7,,-6.2,,24.2,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2005-01-05,2005,1,5,,-6.8,,-13,,-9.9,,27.9,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2005-01-06,2005,1,6,,-11.6,,-16.8,,-14.2,,32.2,,0,,,,,,6.2,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2005-01-07,2005,1,7,,-11.8,,-13.3,,-12.6,,30.6,,0,,,,,,6.5,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2005-01-08,2005,1,8,,-0.3,,-13.1,,-6.7,,24.7,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2005-01-09,2005,1,9,,-13.1,,-22.1,,-17.6,,35.6,,0,,,,,,0,,,,,,,
-138.91,69.57,HERSCHEL ISLAND,2100636,2005-01-10,2005,1,10,,-22.2,,-23.2,,-22.7,,40.7,,0,,,,,,0,,,,,,,
