Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-01,1996,1,1,,,M,,M,,M,,M,,M,,M,,M,,M,,,11,,61,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-02,1996,1,2,,-12.9,,-19.8,,-16.4,,34.4,,0,,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-03,1996,1,3,,-6,,-14,,-10,,28,,0,,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-04,1996,1,4,,-4.6,,-12.2,,-8.4,,26.4,,0,,,M,,M,,M,,,31,,43,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-05,1996,1,5,,-5.4,,-15.5,,-10.5,,28.5,,0,,,M,,M,,M,,,32,,37,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-06,1996,1,6,,-15.4,,-25.7,,-20.6,,38.6,,0,,,M,,M,,M,,,32,,74,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-07,1996,1,7,,-25.7,,-31.3,,-28.5,,46.5,,0,,,M,,M,,M,,,32,,65,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-08,1996,1,8,,-29.6,E,-32.1,E,-30.9,E,48.9,E,0,E,,M,,M,,M,,,31,,56,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-09,1996,1,9,,-28.9,,-32.3,,-30.6,,48.6,,0,,,M,,M,,M,,,32,,56,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-10,1996,1,10,,-27.6,,-31.2,,-29.4,,47.4,,0,,,M,,M,,M,,,31,,65,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-11,1996,1,11,,-27.8,,-32.3,,-30.1,,48.1,,0,,,M,,M,,M,,,,,<31,
-138.91,69.57,HERSCHEL ISLAND,2100636,1996-01-12,1996,1,12,,-16,,-29.1,,-22.6,,40.6,,0,,,M,,M,,M,,,31,,46,
